NAME,pop,state,county,geoid
"Lake County, California",64148,06,033,06033
"Mariposa County, California",17540,06,043,06043
"Yuba County, California",75493,06,115,06115
"Contra Costa County, California",1133247,06,013,06013
"Lassen County, California",31185,06,035,06035
"Santa Barbara County, California",443738,06,083,06083
"Sonoma County, California",501317,06,097,06097
"Imperial County, California",180216,06,025,06025
"Mono County, California",14174,06,051,06051
"Alameda County, California",1643700,06,001,06001
"Sacramento County, California",1510023,06,067,06067
"Napa County, California",140530,06,055,06055
"Monterey County, California",433212,06,053,06053
"Sierra County, California",2930,06,091,06091
"San Diego County, California",3302833,06,073,06073
"Yolo County, California",214977,06,113,06113
"Humboldt County, California",135768,06,023,06023
"Alpine County, California",1146,06,003,06003
"Mendocino County, California",87422,06,045,06045
"Santa Cruz County, California",273765,06,087,06087
"Los Angeles County, California",10098052,06,037,06037
"Riverside County, California",2383286,06,065,06065
"Santa Clara County, California",1922200,06,085,06085
"Marin County, California",260295,06,041,06041
"Siskiyou County, California",43540,06,093,06093
"Shasta County, California",179085,06,089,06089
"Del Norte County, California",27424,06,015,06015
"San Luis Obispo County, California",281455,06,079,06079
"Glenn County, California",27897,06,021,06021
"Butte County, California",227075,06,007,06007
"Plumas County, California",18699,06,063,06063
"Kern County, California",883053,06,029,06029
"Orange County, California",3164182,06,059,06059
"Calaveras County, California",45235,06,009,06009
"Sutter County, California",95872,06,101,06101
"San Mateo County, California",765935,06,081,06081
"Tuolumne County, California",53932,06,109,06109
"San Joaquin County, California",732212,06,077,06077
"Amador County, California",37829,06,005,06005
"Merced County, California",269075,06,047,06047
"Modoc County, California",8938,06,049,06049
"Inyo County, California",18085,06,027,06027
"Stanislaus County, California",539301,06,099,06099
"Tehama County, California",63373,06,103,06103
"San Benito County, California",59416,06,069,06069
"El Dorado County, California",186661,06,017,06017
"San Francisco County, California",870044,06,075,06075
"Tulare County, California",460477,06,107,06107
"Nevada County, California",99092,06,057,06057
"Madera County, California",155013,06,039,06039
"Trinity County, California",12862,06,105,06105
"San Bernardino County, California",2135413,06,071,06071
"Placer County, California",380077,06,061,06061
"Solano County, California",438530,06,095,06095
"Colusa County, California",21464,06,011,06011
"Kings County, California",150075,06,031,06031
"Fresno County, California",978130,06,019,06019
"Ventura County, California",848112,06,111,06111
