NAME,pop,bg_fire_counts,geoid
"Block Group 3, Census Tract 8, Siskiyou County, California",859,8748,060930008003
"Block Group 1, Census Tract 8, Siskiyou County, California",2178,5435,060930008001
"Block Group 1, Census Tract 11, Siskiyou County, California",358,25,060930011001
"Block Group 1, Census Tract 9, Siskiyou County, California",563,3,060930009001
"Block Group 5, Census Tract 9, Siskiyou County, California",741,6,060930009005
"Block Group 2, Census Tract 9, Siskiyou County, California",1405,17,060930009002
"Block Group 4, Census Tract 9, Siskiyou County, California",3189,37,060930009004
"Block Group 6, Census Tract 9, Siskiyou County, California",680,16,060930009006
"Block Group 2, Census Tract 7.01, Siskiyou County, California",965,22,060930007012
"Block Group 3, Census Tract 7.01, Siskiyou County, California",946,4,060930007013
"Block Group 1, Census Tract 7.01, Siskiyou County, California",879,6,060930007011
"Block Group 4, Census Tract 7.01, Siskiyou County, California",996,2,060930007014
"Block Group 1, Census Tract 2, Siskiyou County, California",1782,246,060930002001
"Block Group 1, Census Tract 4, Siskiyou County, California",584,1471,060930004001
"Block Group 1, Census Tract 5, Siskiyou County, California",854,16323,060930005001
"Block Group 3, Census Tract 5, Siskiyou County, California",613,15817,060930005003
"Block Group 1, Census Tract 3, Siskiyou County, California",2013,379,060930003001
"Block Group 3, Census Tract 3, Siskiyou County, California",1167,535,060930003003
"Block Group 3, Census Tract 10, Siskiyou County, California",1810,2,060930010003
"Block Group 1, Census Tract 1, Siskiyou County, California",1127,322,060930001001
"Block Group 1, Census Tract 6, Siskiyou County, California",1815,204,060930006001
"Block Group 5, Census Tract 10, Siskiyou County, California",1597,6,060930010005
"Block Group 1, Census Tract 12, Siskiyou County, California",1317,1125,060930012001
"Block Group 2, Census Tract 5, Siskiyou County, California",442,3,060930005002
"Block Group 2, Census Tract 3, Siskiyou County, California",1005,18,060930003002
"Block Group 4, Census Tract 10, Siskiyou County, California",1649,14,060930010004
"Block Group 2, Census Tract 7.02, Siskiyou County, California",2666,1,060930007022
